         349480367 function calls (341997083 primitive calls) in 308.596 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   198407    0.660    0.000    2.356    0.000 algorithms.py:132(_reconstruct_data)
   394174    0.685    0.000    0.939    0.000 algorithms.py:1342(_get_take_nd_function)
   394174    3.245    0.000   18.308    0.000 algorithms.py:1375(take_nd)
   198407    0.131    0.000    0.804    0.000 algorithms.py:158(_ensure_arraylike)
        1    0.000    0.000    0.089    0.089 algorithms.py:4(<module>)
   198407    0.922    0.000    8.616    0.000 algorithms.py:42(_ensure_data)
   198407    3.174    0.000  154.168    0.001 algorithms.py:581(value_counts)
   198407    1.126    0.000   34.924    0.000 algorithms.py:655(_value_counts_arraylike)
        1    0.000    0.000    0.000    0.000 algorithms.py:994(SelectN)
        1    0.000    0.000    0.000    0.000 align.py:2(<module>)
        1    0.000    0.000    0.000    0.000 align.py:44(_filter_special_cases)
        1    0.000    0.000    0.834    0.834 api.py:1(<module>)
        7    0.000    0.000    0.279    0.040 api.py:3(<module>)
       10    0.000    0.000    0.000    0.000 api.py:31(_get_combined_index)
       10    0.000    0.000    0.000    0.000 api.py:47(_get_distinct_indexes)
       30    0.000    0.000    0.000    0.000 api.py:48(<genexpr>)
        1    0.000    0.000    1.773    1.773 api.py:5(<module>)
        3    0.000    0.000    0.000    0.000 api.py:68(outer)
        1    0.000    0.000    0.000    0.000 app.py:12(App)
        1    0.000    0.000    0.000    0.000 app.py:9(<module>)
        1    0.000    0.000    0.000    0.000 appdirs.py:365(AppDirs)
        1    0.000    0.000    0.032    0.032 appdirs.py:9(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1005(_HelpAction)
        6    0.000    0.000    0.000    0.000 argparse.py:1007(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1024(_VersionAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1050(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1052(_ChoicesPseudoAction)
        5    0.000    0.000    0.000    0.000 argparse.py:1054(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1062(__init__)
        5    0.000    0.000    0.001    0.000 argparse.py:1083(add_parser)
        1    0.000    0.000    0.000    0.000 argparse.py:109(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 argparse.py:1109(__call__)
        1    0.000    0.000    0.000    0.000 argparse.py:1146(FileType)
        1    0.000    0.000    0.000    0.000 argparse.py:1200(Namespace)
        2    0.000    0.000    0.000    0.000 argparse.py:1207(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1220(_ActionsContainer)
       18    0.000    0.000    0.001    0.000 argparse.py:1222(__init__)
      204    0.000    0.000    0.000    0.000 argparse.py:1274(register)
       14    0.000    0.000    0.000    0.000 argparse.py:1278(_registry_get)
        6    0.000    0.000    0.001    0.000 argparse.py:1303(add_argument)
       12    0.000    0.000    0.000    0.000 argparse.py:1350(add_argument_group)
        7    0.000    0.000    0.000    0.000 argparse.py:1360(_add_action)
        6    0.000    0.000    0.000    0.000 argparse.py:1440(_get_optional_kwargs)
        7    0.000    0.000    0.000    0.000 argparse.py:1476(_pop_action_class)
       18    0.000    0.000    0.000    0.000 argparse.py:1480(_get_handler)
        7    0.000    0.000    0.000    0.000 argparse.py:1489(_check_conflict)
        1    0.000    0.000    0.000    0.000 argparse.py:150(HelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1527(_ArgumentGroup)
       12    0.000    0.000    0.000    0.000 argparse.py:1529(__init__)
        7    0.000    0.000    0.000    0.000 argparse.py:1551(_add_action)
        1    0.000    0.000    0.000    0.000 argparse.py:1561(_MutuallyExclusiveGroup)
        7    0.000    0.000    0.000    0.000 argparse.py:157(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1581(ArgumentParser)
        6    0.000    0.000    0.002    0.000 argparse.py:1600(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1638(identity)
        1    0.000    0.000    0.000    0.000 argparse.py:1678(add_subparsers)
        6    0.000    0.000    0.000    0.000 argparse.py:1709(_add_action)
        3    0.000    0.000    0.000    0.000 argparse.py:1721(_get_positional_actions)
        3    0.000    0.000    0.000    0.000 argparse.py:1722(<listcomp>)
      2/1    0.000    0.000    0.000    0.000 argparse.py:1736(parse_known_args)
      2/1    0.000    0.000    0.000    0.000 argparse.py:1771(_parse_known_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1818(take_action)
      2/1    0.000    0.000    0.000    0.000 argparse.py:1916(consume_positionals)
        1    0.000    0.000    0.000    0.000 argparse.py:200(_Section)
        7    0.000    0.000    0.000    0.000 argparse.py:202(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:2067(_match_arguments_partial)
        1    0.000    0.000    0.000    0.000 argparse.py:2073(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:2077(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:208(format_help)
        1    0.000    0.000    0.000    0.000 argparse.py:2083(_parse_optional)
        1    0.000    0.000    0.000    0.000 argparse.py:213(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:2186(_get_nargs_pattern)
        1    0.000    0.000    0.000    0.000 argparse.py:2230(_get_values)
        1    0.000    0.000    0.000    0.000 argparse.py:2270(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:2282(_get_value)
        1    0.000    0.000    0.000    0.000 argparse.py:2308(_check_value)
        1    0.000    0.000    0.000    0.000 argparse.py:231(_add_item)
        7    0.000    0.000    0.000    0.000 argparse.py:2348(_get_formatter)
        1    0.000    0.000    0.000    0.000 argparse.py:251(add_usage)
        1    0.000    0.000    0.000    0.000 argparse.py:281(format_help)
        2    0.000    0.000    0.000    0.000 argparse.py:288(_join_parts)
        2    0.000    0.000    0.000    0.000 argparse.py:289(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:293(_format_usage)
        6    0.000    0.000    0.000    0.000 argparse.py:560(_metavar_formatter)
        6    0.000    0.000    0.000    0.000 argparse.py:569(format)
        6    0.000    0.000    0.000    0.000 argparse.py:576(_format_args)
        6    0.000    0.000    0.000    0.000 argparse.py:591(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:637(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:648(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:659(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:676(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:709(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:729(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 argparse.py:738(Action)
       12    0.000    0.000    0.000    0.000 argparse.py:789(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:829(_StoreAction)
        1    0.000    0.000    0.000    0.000 argparse.py:864(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:887(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 argparse.py:904(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 argparse.py:921(_AppendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:958(_AppendConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:984(_CountAction)
        1    0.000    0.000    0.000    0.000 argv_parser.py:1(<module>)
        1    0.000    0.000    0.002    0.002 argv_parser.py:4(parser)
        1    0.000    0.000    0.000    0.000 array.py:162(SparseArray)
        1    0.000    0.000    0.006    0.006 array.py:3(<module>)
       26    0.000    0.000    0.000    0.000 array.py:45(_arith_method)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:368(_recursive_guard)
        1    0.000    0.000    0.000    0.000 arrayprint.py:378(decorating_function)
        1    0.000    0.000    0.014    0.014 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:602(FloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:711(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:731(LongFloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:761(LongComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:772(ComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:789(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:810(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:837(SubArrayFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:847(StructureFormat)
        1    0.000    0.000    0.000    0.000 arraysetops.py:27(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:20(Arrayterator)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:229(NodeVisitor)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:266(NodeTransformer)
        1    0.000    0.000    0.001    0.001 autotimeit.py:2(<module>)
        1    0.000    0.000    0.695    0.695 base.py:1(<module>)
       10    0.000    0.000    0.000    0.000 base.py:1055(_get_names)
       10    0.000    0.000    0.000    0.000 base.py:1058(_set_names)
       10    0.000    0.000    0.000    0.000 base.py:1066(set_names)
      141    0.000    0.000    0.001    0.000 base.py:1258(is_unique)
      125    0.000    0.000    0.000    0.000 base.py:1270(is_integer)
       10    0.000    0.000    0.000    0.000 base.py:1282(is_categorical)
   385843    0.620    0.000    1.594    0.000 base.py:1303(_convert_scalar_indexer)
        1    0.000    0.000    0.000    0.000 base.py:138(NoNewAttributesMixin)
      125    0.000    0.000    0.003    0.000 base.py:1419(_convert_listlike_indexer)
      125    0.000    0.000    0.002    0.000 base.py:1453(_convert_arr_indexer)
      125    0.000    0.000    0.000    0.000 base.py:1489(_convert_list_indexer)
198555/198554    2.737    0.000   11.848    0.000 base.py:152(__new__)
   198010    0.394    0.000    0.550    0.000 base.py:1537(_engine)
   198010    0.150    0.000    0.459    0.000 base.py:1540(<lambda>)
        1    0.000    0.000    0.000    0.000 base.py:1566(inferred_type)
   396815    0.767    0.000    2.472    0.000 base.py:1578(is_all_dates)
   198449    0.187    0.000    0.526    0.000 base.py:1584(__iter__)
   799244    0.971    0.000    1.799    0.000 base.py:1638(__contains__)
        1    0.000    0.000    0.000    0.000 base.py:165(PandasDelegate)
  1000182    3.996    0.000   17.577    0.000 base.py:1672(__getitem__)
       10    0.000    0.000    0.001    0.000 base.py:1706(append)
       10    0.000    0.000    0.000    0.000 base.py:1730(<listcomp>)
       10    0.000    0.000    0.001    0.000 base.py:1744(_append_same_dtype)
   196952    0.669    0.000    3.784    0.000 base.py:1772(take)
        9    0.000    0.000    0.000    0.000 base.py:178(_add_delegate_accessors)
      125    0.000    0.000    0.000    0.000 base.py:1790(_assert_take_fillable)
       54    0.000    0.000    0.000    0.000 base.py:194(_create_delegator_property)
   577268    0.827    0.000    4.028    0.000 base.py:1961(equals)
       10    0.000    0.000    0.000    0.000 base.py:1981(identical)
       34    0.000    0.000    0.000    0.000 base.py:208(_create_delegator_method)
        1    0.000    0.000    0.000    0.000 base.py:230(AccessorProperty)
        5    0.000    0.000    0.000    0.000 base.py:234(__init__)
   412154    0.387    0.000    0.943    0.000 base.py:2435(get_loc)
   385718    1.567    0.000    9.987    0.000 base.py:2454(get_value)
        1    0.000    0.000    0.000    0.000 base.py:252(GroupByError)
        1    0.000    0.000    0.000    0.000 base.py:256(DataError)
      145    0.001    0.000    0.014    0.000 base.py:2564(get_indexer)
        1    0.000    0.000    0.000    0.000 base.py:260(SpecificationError)
        1    0.000    0.000    0.000    0.000 base.py:264(SelectionMixin)
        1    0.000    0.000    0.000    0.000 base.py:27(StringMixin)
      145    0.000    0.000    0.001    0.000 base.py:2721(_maybe_promote)
       10    0.000    0.000    0.000    0.000 base.py:2819(_can_reindex)
       10    0.000    0.000    0.000    0.000 base.py:2838(reindex)
        1    0.000    0.000    0.162    0.162 base.py:3(<module>)
       10    0.000    0.000    0.001    0.000 base.py:3575(delete)
       10    0.000    0.000    0.002    0.000 base.py:3604(drop)
  1387553    2.971    0.000    5.857    0.000 base.py:367(_simple_new)
        1    0.000    0.000    0.000    0.000 base.py:3702(_add_comparison_methods)
        6    0.000    0.000    0.000    0.000 base.py:3706(_make_compare)
        2    0.000    0.000    0.000    0.000 base.py:3746(_add_numeric_methods_add_sub_disabled)
        4    0.000    0.000    0.000    0.000 base.py:3750(_make_invalid_op)
        5    0.000    0.000    0.000    0.000 base.py:3761(_add_numeric_methods_disabled)
       40    0.000    0.000    0.000    0.000 base.py:3765(_make_invalid_op)
        4    0.000    0.000    0.000    0.000 base.py:3847(_add_numeric_methods_binary)
       48    0.000    0.000    0.000    0.000 base.py:3851(_make_evaluate_binop)
        5    0.000    0.000    0.000    0.000 base.py:3914(_add_numeric_methods_unary)
       20    0.000    0.000    0.000    0.000 base.py:3918(_make_evaluate_unary)
        5    0.000    0.000    0.000    0.000 base.py:3934(_add_numeric_methods)
        4    0.000    0.000    0.000    0.000 base.py:3939(_add_logical_methods)
        8    0.000    0.000    0.000    0.000 base.py:3956(_make_logical_function)
        7    0.000    0.000    0.000    0.000 base.py:3978(_add_logical_methods_disabled)
       14    0.000    0.000    0.000    0.000 base.py:3982(_make_invalid_op)
  1387206    0.646    0.000    0.860    0.000 base.py:3999(_ensure_index)
       10    0.000    0.000    0.000    0.000 base.py:4037(_ensure_has_len)
   990591    1.718    0.000    8.591    0.000 base.py:404(_shallow_copy)
       10    0.000    0.000    0.001    0.000 base.py:412(_shallow_copy_with_infer)
   577268    0.368    0.000    0.473    0.000 base.py:502(is_)
  1585962    0.689    0.000    0.689    0.000 base.py:522(_reset_identity)
  5110721    1.884    0.000    2.491    0.000 base.py:528(__len__)
   396814    0.259    0.000    0.475    0.000 base.py:534(__array__)
   192657    0.069    0.000    0.069    0.000 base.py:549(dtype)
  1375433    0.859    0.000    1.621    0.000 base.py:559(values)
   385040    0.174    0.000    0.549    0.000 base.py:564(get_values)
       20    0.000    0.000    0.000    0.000 base.py:685(_coerce_to_ndarray)
   990611    1.959    0.000    2.784    0.000 base.py:701(_get_attributes_dict)
   990611    0.603    0.000    0.825    0.000 base.py:703(<listcomp>)
        1    0.000    0.000    0.000    0.000 base.py:733(GroupByMixin)
        3    0.000    0.000    0.000    0.000 base.py:736(_dispatch)
        1    0.000    0.000    0.000    0.000 base.py:75(PandasObject)
        1    0.000    0.000    0.000    0.000 base.py:781(IndexOpsMixin)
        1    0.000    0.000    0.000    0.000 base.py:79(InvalidIndexError)
   198176    0.107    0.000    0.308    0.000 base.py:857(_values)
   198407    0.737    0.000  155.240    0.001 base.py:908(value_counts)
        1    0.000    0.000    0.001    0.001 base.py:99(Index)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.001    0.001 base64mime.py:25(<module>)
        1    0.000    0.000    0.000    0.000 bdb.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bdb.py:10(BdbQuit)
        1    0.000    0.000    0.000    0.000 bdb.py:14(Bdb)
        1    0.000    0.000    0.000    0.000 bdb.py:478(Breakpoint)
        1    0.000    0.000    0.000    0.000 bdb.py:644(Tdb)
        1    0.000    0.000    0.007    0.007 bench.py:2(<module>)
        1    0.000    0.000    0.000    0.000 bench_detailed.py:2(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:32(BZ2File)
        1    0.000    0.000    0.006    0.006 bz2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 cacheprovider.py:101(LFPlugin)
        1    0.000    0.000    0.000    0.000 cacheprovider.py:15(Cache)
        1    0.000    0.000    0.000    0.000 cacheprovider.py:170(pytest_addoption)
        1    0.000    0.000    0.000    0.000 cacheprovider.py:6(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:129(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:135(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:141(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:24(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:260(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:31(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:377(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:489(different_locale)
        1    0.000    0.000    0.000    0.000 calendar.py:50(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:501(LocaleTextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:53(<lambda>)
        1    0.000    0.000    0.000    0.000 calendar.py:532(LocaleHTMLCalendar)
        2    0.000    0.000    0.000    0.000 calendar.py:55(__init__)
       26    0.000    0.000    0.000    0.000 calendar.py:58(__getitem__)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:69(_localized_day)
        1    0.000    0.000    0.000    0.000 calendar.py:72(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:74(__init__)
       14    0.000    0.000    0.000    0.000 calendar.py:77(__getitem__)
        1    0.000    0.000    0.000    0.000 capture.py:190(CaptureFixture)
        1    0.000    0.000    0.000    0.000 capture.py:23(pytest_addoption)
        1    0.000    0.000    0.000    0.000 capture.py:241(EncodedFile)
        1    0.000    0.000    0.000    0.000 capture.py:266(MultiCapture)
        1    0.000    0.000    0.000    0.000 capture.py:330(NoCapture)
        1    0.000    0.000    0.000    0.000 capture.py:334(FDCapture)
        1    0.000    0.000    0.000    0.000 capture.py:4(<module>)
        1    0.000    0.000    0.000    0.000 capture.py:410(SysCapture)
        1    0.000    0.000    0.000    0.000 capture.py:448(DontReadFromInput)
        1    0.000    0.000    0.000    0.000 capture.py:64(CaptureManager)
        1    0.000    0.000    0.010    0.010 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:128(_BaseTestCaseContext)
       10    0.000    0.000    0.000    0.000 case.py:1315(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:1337(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 case.py:137(_AssertRaisesBaseContext)
        1    0.000    0.000    0.000    0.000 case.py:1395(_SubTest)
        1    0.000    0.000    0.000    0.000 case.py:184(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 case.py:221(_AssertWarnsContext)
        1    0.000    0.000    0.000    0.000 case.py:25(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:278(_CapturingHandler)
        1    0.000    0.000    0.000    0.000 case.py:297(_AssertLogsContext)
        1    0.000    0.000    0.000    0.000 case.py:33(_ShouldStop)
        1    0.000    0.000    0.000    0.000 case.py:341(TestCase)
        1    0.000    0.000    0.000    0.000 case.py:38(_UnexpectedSuccess)
        1    0.000    0.000    0.000    0.000 case.py:44(_Outcome)
        1    0.000    0.000    0.038    0.038 cast.py:1(<module>)
       10    0.000    0.000    0.000    0.000 cast.py:1006(<genexpr>)
       15    0.000    0.000    0.000    0.000 cast.py:1009(<genexpr>)
       10    0.000    0.000    0.000    0.000 cast.py:1013(<genexpr>)
       10    0.000    0.000    0.000    0.000 cast.py:1015(<genexpr>)
       15    0.000    0.000    0.000    0.000 cast.py:1020(<genexpr>)
      539    0.001    0.000    0.004    0.000 cast.py:166(maybe_upcast_putmask)
   393924    1.632    0.000    4.975    0.000 cast.py:251(maybe_promote)
   787088    1.177    0.000    1.177    0.000 cast.py:759(maybe_castable)
   396822    0.905    0.000    4.267    0.000 cast.py:771(maybe_infer_to_datetimelike)
   589191    2.647    0.000    9.900    0.000 cast.py:868(maybe_cast_to_datetime)
        5    0.000    0.000    0.000    0.000 cast.py:981(find_common_type)
        1    0.000    0.000    0.000    0.000 categorical.py:170(Categorical)
        1    0.000    0.000    0.000    0.000 categorical.py:2043(CategoricalAccessor)
        1    0.000    0.000    0.176    0.176 categorical.py:3(<module>)
        6    0.000    0.000    0.000    0.000 categorical.py:45(_cat_compare_op)
        1    0.000    0.000    0.001    0.001 category.py:1(<module>)
        1    0.000    0.000    0.001    0.001 category.py:30(CategoricalIndex)
        1    0.000    0.000    0.000    0.000 category.py:640(_add_comparison_methods)
        6    0.000    0.000    0.000    0.000 category.py:644(_make_compare)
        1    0.000    0.000    0.000    0.000 category.py:688(_add_accessors)
        1    0.000    0.000    0.000    0.000 chainmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chainmap.py:7(DeepChainMap)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
        1    0.000    0.000    0.000    0.000 chart.py:21(Chart)
        1    0.000    0.000    0.000    0.000 chart.py:7(<module>)
        1    0.000    0.000    0.000    0.000 chart_area.py:11(ChartArea)
        1    0.000    0.000    0.007    0.007 chart_area.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_bar.py:12(ChartBar)
        1    0.000    0.000    0.000    0.000 chart_bar.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_column.py:11(ChartColumn)
        1    0.000    0.000    0.000    0.000 chart_column.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_doughnut.py:12(ChartDoughnut)
        1    0.000    0.000    0.007    0.007 chart_doughnut.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_line.py:11(ChartLine)
        1    0.000    0.000    0.000    0.000 chart_line.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_pie.py:12(ChartPie)
        1    0.000    0.000    0.000    0.000 chart_pie.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_radar.py:11(ChartRadar)
        1    0.000    0.000    0.000    0.000 chart_radar.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_scatter.py:12(ChartScatter)
        1    0.000    0.000    0.000    0.000 chart_scatter.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_stock.py:11(ChartStock)
        1    0.000    0.000    0.000    0.000 chart_stock.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chartsheet.py:12(Chartsheet)
        1    0.000    0.000    0.000    0.000 chartsheet.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:2036(Chebyshev)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
        1    0.000    0.000    0.000    0.000 client.py:107(<dictcomp>)
        1    0.000    0.000    0.000    0.000 client.py:1355(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 client.py:1411(HTTPException)
        1    0.000    0.000    0.000    0.000 client.py:1416(NotConnected)
        1    0.000    0.000    0.000    0.000 client.py:1419(InvalidURL)
        1    0.000    0.000    0.000    0.000 client.py:1422(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 client.py:1427(UnknownTransferEncoding)
        1    0.000    0.000    0.000    0.000 client.py:1430(UnimplementedFileMode)
        1    0.000    0.000    0.000    0.000 client.py:1433(IncompleteRead)
        1    0.000    0.000    0.000    0.000 client.py:1448(ImproperConnectionState)
        1    0.000    0.000    0.000    0.000 client.py:1451(CannotSendRequest)
        1    0.000    0.000    0.000    0.000 client.py:1454(CannotSendHeader)
        1    0.000    0.000    0.000    0.000 client.py:1457(ResponseNotReady)
        1    0.000    0.000    0.000    0.000 client.py:1460(BadStatusLine)
        1    0.000    0.000    0.000    0.000 client.py:1467(LineTooLong)
        1    0.000    0.000    0.000    0.000 client.py:1472(RemoteDisconnected)
        1    0.000    0.000    0.000    0.000 client.py:164(HTTPMessage)
        1    0.000    0.000    0.000    0.000 client.py:218(HTTPResponse)
        1    0.000    0.000    0.049    0.049 client.py:69(<module>)
        1    0.000    0.000    0.000    0.000 client.py:788(HTTPConnection)
        1    0.000    0.000    0.000    0.000 clipboards.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cmd.py:43(<module>)
        1    0.000    0.000    0.000    0.000 cmd.py:52(Cmd)
        2    0.000    0.000    0.016    0.008 code.py:1(<module>)
        1    0.000    0.000    0.000    0.000 code.py:133(TracebackEntry)
        1    0.000    0.000    0.000    0.000 code.py:14(Code)
        1    0.000    0.000    0.000    0.000 code.py:149(TracebackEntry)
        1    0.000    0.000    0.000    0.000 code.py:16(InteractiveInterpreter)
        1    0.000    0.000    0.000    0.000 code.py:163(InteractiveConsole)
        1    0.000    0.000    0.000    0.000 code.py:19(Code)
        1    0.000    0.000    0.000    0.000 code.py:246(Traceback)
        1    0.000    0.000    0.000    0.000 code.py:262(Traceback)
        1    0.000    0.000    0.001    0.001 code.py:3(<module>)
        1    0.000    0.000    0.000    0.000 code.py:338(ExceptionInfo)
        1    0.000    0.000    0.000    0.000 code.py:358(ExceptionInfo)
        1    0.000    0.000    0.000    0.000 code.py:425(FormattedExcinfo)
        1    0.000    0.000    0.000    0.000 code.py:461(FormattedExcinfo)
        1    0.000    0.000    0.000    0.000 code.py:594(TerminalRepr)
        1    0.000    0.000    0.000    0.000 code.py:613(ReprExceptionInfo)
        1    0.000    0.000    0.000    0.000 code.py:628(ReprTraceback)
        1    0.000    0.000    0.000    0.000 code.py:652(ReprTracebackNative)
        1    0.000    0.000    0.000    0.000 code.py:658(ReprEntryNative)
        1    0.000    0.000    0.000    0.000 code.py:667(ReprEntry)
        1    0.000    0.000    0.000    0.000 code.py:692(TerminalRepr)
        1    0.000    0.000    0.000    0.000 code.py:704(ReprFileLocation)
        1    0.000    0.000    0.000    0.000 code.py:711(ExceptionRepr)
        1    0.000    0.000    0.000    0.000 code.py:719(ReprLocals)
        1    0.000    0.000    0.000    0.000 code.py:724(ExceptionChainRepr)
        1    0.000    0.000    0.000    0.000 code.py:727(ReprFuncArgs)
        1    0.000    0.000    0.000    0.000 code.py:73(Frame)
        1    0.000    0.000    0.000    0.000 code.py:742(ReprExceptionInfo)
        1    0.000    0.000    0.000    0.000 code.py:753(ReprTraceback)
        1    0.000    0.000    0.000    0.000 code.py:777(ReprTracebackNative)
        1    0.000    0.000    0.000    0.000 code.py:784(ReprEntryNative)
        1    0.000    0.000    0.000    0.000 code.py:794(ReprEntry)
        1    0.000    0.000    0.000    0.000 code.py:832(ReprFileLocation)
        1    0.000    0.000    0.000    0.000 code.py:849(ReprLocals)
        1    0.000    0.000    0.000    0.000 code.py:858(ReprFuncArgs)
        1    0.000    0.000    0.000    0.000 code.py:87(Frame)
       65    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
       64    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
      122    0.000    0.000    0.001    0.000 codecs.py:318(decode)
        1    0.000    0.000    0.000    0.000 codeop.py:124(Compile)
        1    0.000    0.000    0.000    0.000 codeop.py:139(CommandCompiler)
        1    0.000    0.000    0.000    0.000 codeop.py:57(<module>)
        1    0.000    0.000    0.000    0.000 codeop.py:61(<listcomp>)
       70    0.000    0.000    0.001    0.000 colors.py:104(is_color_like)
        1    0.000    0.000    0.000    0.000 colors.py:1052(SymLogNorm)
        1    0.000    0.000    0.000    0.000 colors.py:1169(PowerNorm)
       58    0.000    0.000    0.001    0.000 colors.py:119(to_rgba)
        1    0.000    0.000    0.000    0.000 colors.py:1244(BoundaryNorm)
        1    0.000    0.000    0.000    0.000 colors.py:1330(NoNorm)
       14    0.000    0.000    0.000    0.000 colors.py:142(_to_rgba_no_colorcycle)
        1    0.000    0.000    0.000    0.000 colors.py:1514(LightSource)
       44    0.000    0.000    0.000    0.000 colors.py:162(<genexpr>)
       10    0.000    0.000    0.000    0.000 colors.py:194(<genexpr>)
        1    0.000    0.000    0.000    0.000 colors.py:275(ColorConverter)
        1    0.000    0.000    0.000    0.000 colors.py:395(Colormap)
